SOLUTION_ID,CASE_ID,ORIGIN,SOLUTION_NO_KP,SOLUTION_FIRST_KP_NAME,SOLUTION_SECOND_KP_NAME,NODE1_PATH1_CATEGORY,NODE1_PATH1_TYPE,NODE1_PATH1_REFERENCE,NODE2_PATH1_CATEGORY,NODE2_PATH1_TYPE,NODE2_PATH1_REFERENCE,NODE1_PATH2_CATEGORY,NODE1_PATH2_TYPE,NODE1_PATH2_REFERENCE,NODE2_PATH2_CATEGORY,NODE2_PATH2_TYPE,NODE2_PATH2_REFERENCE,EDGE1_PATH1_PREDICATE,EDGE1_PATH1_ENDS,EDGE1_PATH1_REFERENCE,EDGE1_PATH2_PREDICATE,EDGE1_PATH2_ENDS,EDGE1_PATH2_REFERENCE
1,Q000093,DERIVED,2,MolePro,MolePro,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:affected_by,n00:n01,e00
2,Q000094,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
3,Q000095,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
4,Q000096,DERIVED,2,MolePro,MolePro,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:affects,n00:n01,e00,biolink:correlated_with,n00:n01,e00
5,Q000097,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
6,Q000097,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
7,Q000098,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
8,Q000099,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
9,Q000100,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
10,Q000100,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
11,Q000101,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
12,Q000102,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
13,Q000103,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
14,Q000103,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
15,Q000104,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
16,Q000105,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
17,Q000106,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:PhenotypicFeature,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
18,Q000107,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
19,Q000107,DERIVED,2,MolePro,Clinical-COHD,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
20,Q000108,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
21,Q000109,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
22,Q000110,DERIVED,2,MolePro,Genetics,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:Disease,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:gene_associated_with_condition,n00:n01,e00
23,Q000111,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Gene,SP_SUBJECT,n00_1,biolink:Gene,SP_SUBJECT,n00_1,biolink:GeneFamily,OBJECT,n01,biolink:correlated_with,n00:n01,e00,biolink:part_of,n00:n01,e00
24,Q000112,DERIVED,2,MolePro,Automat,biolink:ChemicalSubstance,SUBJECT,n00,biolink:Disease,SP_SUBJECT,n00_1,biolink:Disease,SP_SUBJECT,n00_1,biolink:ChemicalSubstance,OBJECT,n01,biolink:related_to,n00:n01,e00,biolink:correlated_with,n00:n01,e00
